Events number,p1x,p1y,p1z,p2x,p2y,p2z
1,28.45637293,8.845412668,3.400237479,-28.60132453,-7.415418121,-3.110549358
2,-24.27832823,21.7079572,-10.84760552,21.06335444,-19.3277844,8.94142273
3,-21.30740071,3.667431569,-23.78320804,22.24196578,-3.233505008,25.20443256
4,-12.31153762,5.529170181,-27.70999581,13.10259022,-7.220959628,26.13675376
5,-31.569374,14.68331061,-6.024245157,31.59433216,-12.12440017,6.527159727
6,-29.82450277,13.348549,6.024420913,28.19934985,-9.948972412,-5.430505623
7,23.58335196,16.71704302,-16.87841908,-24.54435722,-15.20585121,17.81107065
8,19.9297434,25.45317597,12.78345251,-20.04989899,-18.81534289,-12.31090773
9,13.61400789,10.79160745,30.3840198,-10.73238074,-12.07906407,-31.97873207
10,-23.47498665,11.18447295,-22.94918816,22.82092468,-10.40427323,20.92277907
11,-21.64615576,17.44895717,14.59914068,24.71037573,-14.68413954,-14.93430112
12,29.36575867,14.21205943,-0.917240916,-28.63800509,-14.59883118,0.810129017
13,-6.466186738,28.52328139,11.34332561,6.322902595,-26.18198392,-12.50930908
14,0.505606214,30.68084355,3.906622168,-0.536800676,-34.64420799,-4.187795266
15,-23.63457802,21.40058243,0.123467148,23.00904745,-21.6788604,-0.15054712
16,6.011631149,20.16717447,22.49094645,-5.719391829,-24.17514253,-22.48903319
17,20.35843132,6.215236256,24.82293746,-20.419452,-5.415944671,-20.41177049
18,-32.30220566,6.925258999,7.535810086,28.69498699,-7.406342416,-6.530269254
19,-23.10024699,3.940556986,19.80320943,24.95234345,-4.320366695,-22.40098799
20,-33.77075629,1.010613753,-5.616101,28.52969449,-1.09752641,5.672123418
21,-14.44115859,3.655279309,-28.73416149,17.33998273,-3.525115313,32.62879798
22,32.13934146,4.602744912,5.599760512,-36.86136851,-3.957296369,-5.616273563
23,3.705258226,32.55193509,-3.186663429,-3.965336665,-30.58128737,3.175767226
24,11.06585234,1.032575961,26.45292736,-12.50402021,-1.228604755,-29.82888102
25,12.95992488,23.3390017,18.27374446,-13.6069459,-21.01300451,-15.84872547
26,-15.62579546,27.96376281,-8.097491547,16.04676964,-24.19645889,9.015996295
27,-30.3066212,14.2790312,6.45997458,29.07011303,-16.13304593,-7.028639803
28,9.796013774,23.96812072,-17.84388551,-10.6692253,-24.4759158,20.03624475
29,4.80393161,31.10767885,13.24399479,-5.167213046,-28.95476303,-13.91729585
30,23.37505446,15.71085343,12.50499114,-24.60605361,-18.15890876,-12.90781326
31,24.67405272,13.04449881,1.730932005,-31.01701619,-13.64322584,-1.415286148
32,2.761287594,30.91109246,-7.972027515,-2.494888599,-30.24844964,7.625421051
33,26.54344934,19.89007809,-11.14726476,-24.64531939,-18.74040447,9.118231717
34,15.05264993,27.85911465,0.172845793,-17.24090446,-26.84897958,-0.169499487
35,26.5265261,8.451194606,15.00354189,-27.7879468,-9.371543304,-15.80588712
36,-19.90281907,25.61388777,7.13586361,18.57699411,-24.29870577,-6.596488859
37,-28.62404302,13.41891539,-9.062792246,25.75198749,-13.19570468,9.480452396
38,26.96816675,20.09131927,-9.247853826,-21.4931091,-19.62505961,10.13927335
39,-14.03158247,19.27232479,-18.7239761,15.26921086,-19.51276677,22.01824504
40,7.623598502,31.10433626,-0.057682047,-9.473851892,-28.68376479,0.056402073
41,-27.45320245,0.689616453,13.14721434,28.52106399,-0.709099823,-13.5146031
42,-14.48453868,21.47854458,19.35729775,15.88749654,-20.28191892,-19.90109284
43,21.82823406,22.03741979,-0.622349201,-24.89325897,-20.05154092,0.741840439
44,-5.606872291,28.47793283,-10.50967927,5.642878934,-28.4599959,11.82065131
45,15.19750666,23.30640183,-12.86565317,-18.85511922,-20.36279634,13.53341466
46,-4.693593297,28.50618496,-18.69635722,4.888368438,-30.85871933,15.09668648
47,7.755041684,13.26848662,30.4178668,-6.3072438,-13.49419935,-30.39003732
48,-30.07459726,3.635112052,11.09501935,25.2054598,-3.652696125,-10.84320835
49,-25.27913795,18.25614429,-10.21824716,26.6728642,-15.67359915,13.26561262
50,7.838556761,37.21269252,0.475147888,-6.837739753,-32.3298529,-0.557378235
51,20.77470996,13.68089335,-19.28356711,-27.20341053,-15.35135708,18.46831159
52,26.28205796,19.2184868,-6.45189341,-24.384228,-21.40126118,5.62814737
53,19.94000162,23.15177395,-2.927451045,-20.39110995,-23.02231455,2.486182729
54,2.226699583,23.94283126,-22.40902345,-2.264244628,-24.07845232,22.434681
55,11.29388515,32.23741789,-5.795669528,-11.49247354,-28.08145079,5.012559487
56,27.05441568,11.97618248,9.651718113,-28.31258499,-15.18182223,-10.43575136
57,16.37935445,25.47447946,-6.247512105,-13.73247223,-29.28580799,6.314808748
58,29.79936914,0.264065161,-4.176843347,-32.25924947,-0.27276677,4.11074232
